GEO;WEIGHTS;GEOniv
30101;61756;B
30102;64270;B
30103;46984;B
30104;39487;B
30105;60163;B
30106;35198;B
30107;51487;B
30108;53697;B
30109;36335;B
30110;27773;B
30111;33755;B
30112;49759;B
30113;51340;B
30114;53151;B
30115;39127;B
110301;13222;B
110302;15759;B
110303;24720;B
110304;21877;B
110305;17977;B
110306;20387;B
110307;23335;B
110308;3333;B
110309;5243;B
460101;13926;B
460102;42793;B
460103;44228;B
460104;30552;B
460105;40433;B
460106;31253;B
460107;43737;B
460108;42151;B
500101;52550;B
500102;60262;B
500103;55608;B
500104;43993;B
3;709037;F
11;492350;F
15;268365;F
18;241084;F
31;309161;F
32;716020;F
33;267060;F
34;373628;F
39;253555;F
40;175546;F
42;316051;F
46;646205;F
50;478470;F
55;168340;F
56;74112;F
301;709037;K
1101;15011;K
1103;146011;K
1106;37855;K
1108;82548;K
1111;3324;k
1112;3206;k
1114;2848;k
1119;19649;K
1120;20615;K
1121;19781;K
1122;12302;K
1124;28315;K
1127;11671;K
1130;13474;K
1133;2619;k
1134;3815;k
1135;4543;k
1144;535;k
1145;868;k
1146;11405;K
1149;42903;K
1151;208;k
1160;8844;k
1505;24159;K
1506;32446;K
1508;58057;K
1511;3013;k
1514;2442;k
1515;8842;k
1516;8797;k
1517;5159;k
1520;10929;K
1525;4421;k
1528;7630;k
1531;9636;k
1532;8692;k
1535;7051;k
1539;7046;k
1547;3654;k
1554;5872;k
1557;2669;k
1560;3031;k
1563;7110;k
1566;5912;k
1573;2158;k
1576;3381;k
1577;10960;K
1578;2494;k
1579;13341;K
1580;9407;k
1804;53259;K
1806;21515;K
1811;1391;k
1812;1970;k
1813;7787;k
1815;1219;k
1816;454;k
1818;1839;k
1820;7300;k
1822;2270;k
1824;13342;K
1825;1454;k
1826;1278;k
1827;1391;k
1828;1783;k
1832;4459;k
1833;25980;K
1834;1852;k
1835;444;k
1836;1139;k
1837;6212;k
1838;1928;k
1839;1027;k
1840;4650;k
1841;9572;k
1845;1845;k
1848;2665;k
1851;1985;k
1853;1310;k
1856;469;k
1857;688;k
1859;1220;k
1860;11551;K
1865;9736;k
1866;8184;k
1867;2584;k
1868;4533;k
1870;10561;K
1871;4577;k
1874;979;k
1875;2682;k
3101;31730;K
3103;51240;K
3105;59038;K
3107;84444;K
3110;4762;k
3112;8317;k
3114;6023;k
3116;3886;k
3118;46382;K
3120;8371;k
3122;3639;k
3124;1329;k
3201;129874;K
3203;97784;K
3205;91515;K
3207;62245;K
3209;42866;K
3212;20322;K
3214;16106;K
3216;19089;K
3218;21350;K
3220;11392;K
3222;46797;K
3224;19618;K
3226;17945;K
3228;24283;K
3230;7285;k
3232;25440;K
3234;9307;k
3236;6990;k
3238;15530;K
3240;27338;K
3242;2944;k
3301;103291;K
3303;28793;K
3305;31444;K
3310;6888;k
3312;28167;K
3314;20495;K
3316;14527;K
3318;2211;k
3320;1097;k
3322;3299;k
3324;4767;k
3326;2645;k
3328;4862;k
3330;4506;k
3332;3479;k
3334;2737;k
3336;1366;k
3338;2486;k
3401;17966;K
3403;32382;K
3405;28560;K
3407;30563;K
3411;35475;K
3412;7836;k
3413;21356;K
3414;5010;k
3415;8069;k
3416;6028;k
3417;4572;k
3418;7267;k
3419;3625;k
3420;21568;K
3421;6582;k
3422;4213;k
3423;2281;k
3424;1769;k
3425;1328;k
3426;1555;k
3427;5628;k
3428;2493;k
3429;1519;k
3430;1844;k
3431;2466;k
3432;1966;k
3433;2147;k
3434;2212;k
3435;3532;k
3436;5589;k
3437;5567;k
3438;3240;k
3439;4416;k
3440;5161;k
3441;6129;k
3442;14896;K
3443;13635;K
3446;13568;K
3447;5564;k
3448;6527;k
3449;2866;k
3450;1239;k
3451;6401;k
3452;2091;k
3453;3291;k
3454;1636;k
3901;27682;K
3903;26206;K
3905;58561;K
3907;65574;K
3909;48246;K
3911;27286;K
4001;37056;K
4003;55924;K
4005;13025;K
4010;2375;k
4012;14172;K
4014;10413;K
4016;4091;k
4018;6559;k
4020;10735;K
4022;2939;k
4024;1588;k
4026;5546;k
4028;2427;k
4030;1442;k
4032;1224;k
4034;2198;k
4036;3832;k
4201;6806;k
4202;24587;K
4203;45891;K
4204;115569;K
4205;23479;K
4206;9860;k
4207;9216;k
4211;2421;k
4212;2143;k
4213;6184;k
4214;6174;k
4215;11419;K
4216;5390;k
4217;1786;k
4218;1344;k
4219;3904;k
4220;1136;k
4221;1180;k
4222;995;k
4223;15294;K
4224;911;k
4225;10751;K
4226;1750;k
4227;6024;k
4228;1837;k
4601;289330;K
4602;17179;K
4611;4073;k
4612;5732;k
4613;12132;K
4614;19098;K
4615;3181;k
4616;2910;k
4617;13058;K
4618;11148;K
4619;962;k
4620;1056;k
4621;16144;K
4622;8531;k
4623;2495;k
4624;25596;K
4625;5297;k
4626;39368;K
4627;29989;K
4628;3875;k
4629;380;k
4630;8152;k
4631;29920;K
4632;2856;k
4633;513;k
4634;1654;k
4635;2228;k
4636;756;k
4637;1268;k
4638;3949;k
4639;2561;k
4640;12198;K
4641;1775;k
4642;2129;k
4643;5172;k
4644;5302;k
4645;2949;k
4646;2913;k
4647;22215;K
4648;3482;k
4649;9543;k
4650;5892;k
4651;7244;k
5001;212660;K
5006;23955;K
5007;14923;K
5014;5391;k
5020;904;k
5021;7256;k
5022;2481;k
5025;5598;k
5026;1997;k
5027;6133;k
5028;17340;K
5029;8441;k
5031;14662;K
5032;4144;k
5033;753;k
5034;2426;k
5035;24541;K
5036;2645;k
5037;20344;K
5038;15002;K
5041;2021;k
5042;1295;k
5043;429;k
5044;814;k
5045;2296;k
5046;1216;k
5047;3873;k
5049;1108;k
5052;582;k
5053;6841;k
5054;9977;k
5055;5880;k
5056;5281;k
5057;10472;K
5058;4252;k
5059;18690;K
5060;9890;k
5061;1957;k
5501;77992;K
5503;24903;K
5510;2866;k
5512;4206;k
5514;1279;k
5516;1079;k
5518;983;k
5520;3949;k
5522;2048;k
5524;6782;k
5526;3428;k
5528;1056;k
5530;14851;K
5532;5517;k
5534;2171;k
5536;2714;k
5538;1836;k
5540;2000;k
5542;2790;k
5544;4772;k
5546;1118;k
5601;21317;K
5603;11310;K
5605;9850;k
5607;5593;k
5610;2543;k
5612;2847;k
5614;862;k
5616;970;k
5618;1119;k
5620;2932;k
5622;3863;k
5624;1226;k
5626;1054;k
5628;2804;k
5630;908;k
5632;2117;k
5634;1933;k
5636;864;k
0;5488984;L
81;0;H
82;0;H
83;0;H
84;0;H
